Order No,Product Name,Retail Price,Order Quantity,Sub Total,Expected Sub Total,Difference,Passes Audit
5035-1,HFX LaserJet 3310 Copier,$599.99,35.0,"$2,065.80",$20999.65,$-18933.85,False
5036-1,OIC Thumb-Tacks,$1.14,14.0,$57.00,$15.96,$41.04,False
5036-1,OIC Thumb-Tacks,$1.14,14.0,$57.00,$15.96,$41.04,False
5037-1,Apex Elite Stainless Steel Scissors,$8.34,32.0,$133.44,$266.88,$-133.44,False
5037-1,Apex Elite Stainless Steel Scissors,$8.34,11.0,$133.44,$91.74,$41.70,False
5037-1,Smiths SlimLine Pencil Sharpener,$11.97,10.0,$245.70,$119.70,$126.00,False
5037-1,Apex Preferred Stainless Steel Scissors,$5.68,50.0,$133.44,$284.00,$-150.56,False
5038-1,Smiths Standard Envelopes,$5.68,34.0,$139.24,$193.12,$-53.88,False
5039-1,"Alto Parchment Paper, Assorted Colors",$7.28,37.0,$160.16,$269.36,$-109.20,False
5039-1,Artisan 474 Labels,$2.88,42.0,$130.66,$120.96,$9.70,False
5039-1,"Alto Parchment Paper, Assorted Colors",$7.28,44.0,$186.52,$320.32,$-133.80,False
5040-1,"Steady Colorific Colored Pencils, 12/Box",$2.88,46.0,$138.24,$132.48,$5.76,False
5040-1,"Steady Colorific Colored Pencils, 12/Box",$2.88,8.0,$138.24,$23.04,$115.20,False
5040-1,"Steady Colorific Colored Pencils, 12/Box",$2.88,22.0,$138.24,$63.36,$74.88,False
5040-1,"Steady Colorific Colored Pencils, 12/Box",$2.88,32.0,$138.24,$92.16,$46.08,False
5041-1,Artisan Hi-Liter Smear-Safe Highlighters,$5.84,48.0,$7.20,$280.32,$-273.12,False
5042-1,Apex Straight Scissors,$12.98,49.0,$623.22,$636.02,$-12.80,False
5042-1,Alto Memo Cubes,$5.18,30.0,$130.42,$155.40,$-24.98,False
5042-1,Assorted Color Push Pins,$1.81,30.0,$61.10,$54.30,$6.80,False
5043-1,Artisan 487 Labels,$3.69,7.0,$144.50,$25.83,$118.67,False
5046-1,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",$6.47,34.0,$113.68,$219.98,$-106.30,False
5047-1,Artisan Poly Binder Pockets,$3.58,11.0,$131.14,$39.38,$91.76,False
5047-1,Artisan Premier Heavy-Duty Binder with Round Locking Rings,$14.28,32.0,$335.35,$456.96,$-121.61,False
5047-1,Artisan 487 Labels,$3.69,50.0,$215.76,$184.50,$31.26,False
5047-1,"Artisan Flip-Chart Easel Binder, Black",$22.38,6.0,$471.00,$134.28,$336.72,False
5048-1,Smiths Standard Envelopes,$5.68,29.0,$136.32,$164.72,$-28.40,False
5048-1,Smiths General Use 3-Ring Binders,$1.88,34.0,$41.00,$63.92,$-22.92,False
5048-1,Smiths Standard Envelopes,$5.68,39.0,$138.52,$221.52,$-83.00,False
5049-1,12 Colored Short Pencils,$2.60,1.0,$7.95,$2.60,$5.35,False
5049-1,Office Shears by Apex,$2.08,13.0,$8.32,$27.04,$-18.72,False
5050-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,46.0,"$6,480.48",$4162.08,$2318.40,False
5050-1,Artisan Printable Repositionable Plastic Tabs,$8.60,25.0,$309.60,$215.00,$94.60,False
5050-1,TechSavi Access Keyboard,$15.98,38.0,$859.24,$607.24,$252.00,False
5051-1,Alto Memo Cubes,$5.18,41.0,$147.24,$212.38,$-65.14,False
5051-1,Beekin 105-Key Black Keyboard,$19.98,36.0,$123.42,$719.28,$-595.86,False
5052-1,Artisan 474 Labels,$2.88,7.0,$498.50,$20.16,$478.34,False
5055-1,"Artisan Flip-Chart Easel Binder, Black",$22.38,30.0,$135.34,$671.40,$-536.06,False
5055-1,Smiths Premium Bright 1-Pary Blumk Carr Poncils,$3.28,1.0,$356.12,$3.28,$352.84,False
5055-1,Smiths SlimLine Pencil Sharpener,$11.97,12.0,$365.92,$143.64,$222.28,False
5055-1,Pizazz Drawing Pencil Set,$2.78,25.0,$356.92,$69.50,$287.42,False
5055-1,Pizazz Drawing Pencil Set,$2.78,23.0,$356.12,$63.94,$292.18,False
5055-1,Smiths Premium Bright 1-Part Blank Computer Paper,$19.98,16.0,$356.12,$319.68,$36.44,False
5055-1,Smiths Premium Bright 1-Part Blank Computer Paper,$19.98,32.0,$356.12,$639.36,$-283.24,False
5055-1,Smiths SlimLine Pencil Sharpener,$11.97,39.0,$356.12,$466.83,$-110.71,False
5055-1,Smiths SlimLine Pencil Sharpener,$11.97,43.0,$356.12,$514.71,$-158.59,False
5055-1,Artisan Hanging File Binders,$5.98,12.0,$55.60,$71.76,$-16.16,False
5055-1,Smiths Premium Bright 1-Part Envelopes,$3.69,29.0,$356.12,$107.01,$249.11,False
5056-1,"Creator Anti Dust Chalk, 12/Pack",$1.82,2.0,$53.76,$3.64,$50.12,False
5056-1,Artisan 474 Labels,$2.88,2.0,$55.44,$5.76,$49.68,False
5058-1,Artisan Legal 4-Ring Binder,$20.98,49.0,$806.22,$1028.02,$-221.80,False
5058-1,Smiths Standard Envelopes,$5.68,33.0,$136.24,$187.44,$-51.20,False
5059-1,Alto Memo Cubes,$5.18,7.0,$449.84,$36.26,$413.58,False
5059-1,Alto Memo Cubes,$5.18,8.0,$139.44,$41.44,$98.00,False
5059-1,Artisan 487 Labels,$3.69,47.0,$160.54,$173.43,$-12.89,False
5059-1,Artisan Printable Repositionable Plastic Tabs,$8.60,32.0,$61.36,$275.20,$-213.84,False
5059-1,Artisan 477 Labels,$4.91,25.0,$176.32,$122.75,$53.57,False
5059-1,Beekin 105-Key Black Keyboard,$19.98,45.0,$139.86,$899.10,$-759.24,False
5059-1,"OIC Colored Binder Clips, Assorted Sizes",$3.58,37.0,$151.46,$132.46,$19.00,False
5059-1,Beekin 6 Outlet Metallic Surge Strip,$10.89,10.0,$163.32,$108.90,$54.42,False
5059-1,Artisan 474 Labels,$2.88,37.0,$165.92,$106.56,$59.36,False
5059-1,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",$3.26,35.0,$151.29,$114.10,$37.19,False
5059-2,Alto Memo Cubes,$5.18,41.0,$53.24,$212.38,$-159.14,False
5060-1,Smiths General Use 3-Ring Binders,$1.88,42.0,$35.96,$78.96,$-43.00,False
5060-1,TechSavi Access Keyboard,$15.98,50.0,$538.38,$799.00,$-260.62,False
5060-1,Smiths Bulldog Clip,$3.78,38.0,$13.38,$143.64,$-130.26,False
5062-1,TechSavi Access Keyboard,$15.98,31.0,$623.22,$495.38,$127.84,False
5062-1,Smiths Metal Binder Clips,$2.62,25.0,$66.35,$65.50,$0.85,False
5063-1,"Angle-D Binders with Locking Rings, Label Holders",$7.30,37.0,$77.80,$270.10,$-192.30,False
5064-1,Artisan Printable Repositionable Plastic Tabs,$8.60,23.0,$599.76,$197.80,$401.96,False
5064-1,Artisan Arch Ring Binders,$58.10,9.0,$599.76,$522.90,$76.86,False
5064-1,Artisan Printable Repositionable Plastic Tabs,$8.60,13.0,$433.48,$111.80,$321.68,False
5064-1,Artisan Non-Stick Binders,$4.49,38.0,$48.40,$170.62,$-122.22,False
5064-1,Artisan Arch Ring Binders,$58.10,15.0,$599.76,$871.50,$-271.74,False
5064-1,Artisan 481 Labels,$3.08,19.0,$599.76,$58.52,$541.24,False
5065-1,Artisan 474 Labels,$2.88,2.0,$56.78,$5.76,$51.02,False
5066-1,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",$27.18,26.0,"$1,357.20",$706.68,$650.52,False
5068-1,Smiths Standard Envelopes,$5.68,8.0,$113.60,$45.44,$68.16,False
5068-1,1726 Digital Answering Machine,$20.99,12.0,$579.20,$251.88,$327.32,False
5069-1,Smiths Paper Clips,$2.47,42.0,$119.80,$103.74,$16.06,False
5070-1,Smiths Standard Envelopes,$5.68,29.0,$91.14,$164.72,$-73.58,False
5070-1,Aluminum Document Frame,$12.22,27.0,$431.78,$329.94,$101.84,False
5071-1,Artisan Binder Labels,$3.89,5.0,$91.28,$19.45,$71.83,False
5071-1,Apex Design Stainless Steel Bent Scissors,$6.84,43.0,$230.96,$294.12,$-63.16,False
5071-1,Colored Envelopes,$3.69,25.0,$137.48,$92.25,$45.23,False
5071-1,3Max Organizer Strips,$5.40,47.0,$80.86,$253.80,$-172.94,False
5072-1,Self-Adhesive Ring Binder Labels,$3.52,18.0,$93.36,$63.36,$30.00,False
5075-1,TechSavi Access Keyboard,$15.98,49.0,$543.32,$783.02,$-239.70,False
5075-1,TechSavi Access Keyboard,$15.98,7.0,$543.32,$111.86,$431.46,False
5076-1,Smiths File Caddy,$9.38,23.0,$273.32,$215.74,$57.58,False
5076-1,Smiths Standard Envelopes,$5.68,33.0,$518.96,$187.44,$331.52,False
5076-1,Artisan Reinforcements for Hole-Punch Pages,$1.98,43.0,$58.00,$85.14,$-27.14,False
5077-1,Apex Preferred Stainless Steel Scissors,$5.68,46.0,$133.44,$261.28,$-127.84,False
5078-1,Apex Elite Stainless Steel Scissors,$8.34,44.0,$283.52,$366.96,$-83.44,False
5078-1,Smiths Standard Envelopes,$5.68,16.0,$125.02,$90.88,$34.14,False
5079-1,12 Colored Short Pencils,$2.60,10.0,$154.98,$26.00,$128.98,False
5079-1,Artisan Poly Binder Pockets,$3.58,4.0,$152.04,$14.32,$137.72,False
5080-1,Artisan Poly Binder Pockets,$3.58,42.0,$381.20,$150.36,$230.84,False
5083-1,UGen Ultra Cordless Optical Suite,$100.97,42.0,"$1,514.55",$4240.74,$-2726.19,False
5083-1,UGen Ultra Cordless Optical Suite,$100.97,34.0,"$1,514.55",$3432.98,$-1918.43,False
5083-1,UGen Ultra Cordless Optical Suite,$100.97,23.0,"$1,514.55",$2322.31,$-807.76,False
5083-1,Binder Posts,$5.74,13.0,$57.00,$74.62,$-17.62,False
5084-1,EcoTones Memo Sheets,$4.00,35.0,$76.00,$140.00,$-64.00,False
5084-1,EcoTones Memo Sheets,$4.00,36.0,$76.00,$144.00,$-68.00,False
5086-1,Smiths Colored Bar Computer Paper,$35.44,40.0,$581.88,$1417.60,$-835.72,False
5086-1,"Artisan Flip-Chart Easel Binder, Black",$22.38,48.0,$581.88,$1074.24,$-492.36,False
5087-1,"DrawIt Colored Pencils, 48-Color Set",$36.55,16.0,"$1,644.75",$584.80,$1059.95,False
5087-1,UGen Ultra Professional Cordless Optical Suite,$300.97,42.0,"$6,949.55",$12640.74,$-5691.19,False
5088-1,TechSavi Access Keyboard,$15.98,23.0,$580.32,$367.54,$212.78,False
5089-1,UGen Ultra Professional Cordless Optical Suite,$300.97,48.0,"$4,745.68",$14446.56,$-9700.88,False
5089-1,Beekin 6 Outlet Metallic Surge Strip,$10.89,21.0,$659.38,$228.69,$430.69,False
5090-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,24.0,$995.28,$2171.52,$-1176.24,False
5091-1,Steady Major Accent Highlighters,$7.08,29.0,$247.56,$205.32,$42.24,False
5091-1,Unpadded Memo Slips,$3.98,36.0,$118.96,$143.28,$-24.32,False
5092-1,Artisan 48 Labels,$6.30,38.0,$133.48,$239.40,$-105.92,False
5093-1,Steady Major Accent Highlighters,$7.08,39.0,$193.21,$276.12,$-82.91,False
5093-1,Alto Memo Cubes,$5.18,22.0,$45.60,$113.96,$-68.36,False
5094-1,Smiths SlimLine Pencil Sharpener,$11.97,16.0,$233.92,$191.52,$42.40,False
5095-1,Artisan 474 Labels,$2.88,35.0,$53.32,$100.80,$-47.48,False
5095-1,Aluminum Document Frame,$12.22,30.0,$427.70,$366.60,$61.10,False
5095-1,Aluminum Document Frame,$12.22,8.0,$427.70,$97.76,$329.94,False
5095-1,Aluminum Document Frame,$12.22,8.0,$427.70,$97.76,$329.94,False
5095-1,Aluminum Document Frame,$12.22,35.0,$427.70,$427.70,$-0.00,True
5097-1,Artisan Legal 4-Ring Binder,$20.98,19.0,$986.06,$398.62,$587.44,False
5099-1,TychSavi Access Keyboard,$15.98,31.0,$259.60,$495.38,$-235.78,False
5100-1,PastelOcean Color Pencil Set,$19.84,40.0,$524.75,$793.60,$-268.85,False
5101-1,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",$27.18,50.0,$460.67,$1359.00,$-898.33,False
5101-1,"Alto Parchment Paper, Assorted Colors",$7.28,9.0,$14.56,$65.52,$-50.96,False
5103-1,Unpadded Memo Slips,$3.98,38.0,$29.97,$151.24,$-121.27,False
5104-1,Alto Keyboard-In-A-Box,$29.10,17.0,$899.10,$494.70,$404.40,False
5104-1,Alto Keyboard-In-A-Box,$29.10,45.0,$950.90,$1309.50,$-358.60,False
5105-1,Deluxe Rollaway Locking File with Drawer,$415.88,24.0,"$1,632.30",$9981.12,$-8348.82,False
5105-1,Artisan Printable Repositionable Plastic Tabs,$8.60,18.0,$242.16,$154.80,$87.36,False
5105-1,Artisan 474 Labels,$2.88,37.0,$55.20,$106.56,$-51.36,False
5106-1,Artisan Printable Repositionable Plastic Tabs,$8.60,48.0,$264.60,$412.80,$-148.20,False
5106-1,TechSavi Cordless Navigator Duo,$80.98,29.0,"$11,447.56",$2348.42,$9099.14,False
5107-1,Artisan Printable Repositionable Plastic Tabs,$8.60,42.0,$749.44,$361.20,$388.24,False
5108-1,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",$1.95,1.0,$59.64,$1.95,$57.69,False
5108-1,Artisan Hi-Liter Fluorescent Desk Style Markers,$3.38,49.0,$40.00,$165.62,$-125.62,False
5108-1,Steady Liquid Accent Highlighters,$6.68,23.0,$136.04,$153.64,$-17.60,False
5109-1,OIC Bulk Pack Metal Binder Clips,$3.49,28.0,$136.04,$97.72,$38.32,False
5109-1,Artisan 474 Labels,$2.88,8.0,$30.82,$23.04,$7.78,False
5109-1,"Laser Neon Mac Format Diskettes, 10/Pack",$8.12,45.0,$53.98,$365.40,$-311.42,False
5109-2,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,$3.85,1.0,$136.04,$3.85,$132.19,False
5112-1,Xit Blank Computer Paper,$19.98,35.0,$259.74,$699.30,$-439.56,False
5112-1,Xit Blank Computer Paper,$19.98,2.0,$259.74,$39.96,$219.78,False
5113-1,Economy Rollaway Files,$165.20,39.0,"$1,509.95",$6442.80,$-4932.85,False
5113-1,Economy Rollaway Files,$165.20,45.0,$403.93,$7434.00,$-7030.07,False
5113-1,Apex Box Cutter Scissors,$10.23,31.0,$209.81,$317.13,$-107.32,False
5114-1,Pizazz Dustless Chalk Sticks,$1.68,4.0,$34.00,$6.72,$27.28,False
5114-1,UGen Ultra Eron Style Paps,$2.61,4.0,"$3,865.46",$10.44,$3855.02,False
5115-1,Xit Blank Computer Paper,$19.98,32.0,$447.78,$639.36,$-191.58,False
5116-1,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",$2.10,39.0,$36.70,$81.90,$-45.20,False
5116-1,Multimedia Mailers,$162.93,31.0,"$1,807.60",$5050.83,$-3243.23,False
5118-1,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",$6.47,27.0,$40.00,$174.69,$-134.69,False
5118-1,Creator Colored Pencils,$3.28,32.0,$86.88,$104.96,$-18.08,False
5118-1,Colored Envelopes,$3.69,32.0,$86.88,$118.08,$-31.20,False
5119-1,Economy Binders,$2.08,32.0,$67.12,$66.56,$0.56,False
5119-1,"Steady Colorific Colored Pencils, 12/Box",$2.88,12.0,$142.34,$34.56,$107.78,False
5120-1,Artisan Arch Ring Binders,$58.10,48.0,$581.00,$2788.80,$-2207.80,False
5120-1,Artisan Arch Ring Binders,$58.10,27.0,$581.00,$1568.70,$-987.70,False
5120-1,Artisan Arch Ring Binders,$58.10,37.0,$581.00,$2149.70,$-1568.70,False
5120-1,Artisan Arch Ring Binders,$58.10,40.0,$581.00,$2324.00,$-1743.00,False
5120-1,Artisan Arch Ring Binders,$58.10,12.0,$581.00,$697.20,$-116.20,False
5120-1,Artisan Arch Ring Binders,$58.10,19.0,$581.00,$1103.90,$-522.90,False
5120-1,Artisan Arch Ring Binders,$58.10,35.0,$581.00,$2033.50,$-1452.50,False
5120-1,Artisan Arch Ring Binders,$58.10,22.0,$581.00,$1278.20,$-697.20,False
5120-1,Artisan 48 Labels,$6.30,19.0,$581.00,$119.70,$461.30,False
5120-1,Artisan Arch Ring Binders,$58.10,32.0,$581.00,$1859.20,$-1278.20,False
5120-1,Artisan Arch Ring Binders,$58.10,31.0,$581.00,$1801.10,$-1220.10,False
5120-1,"Artisan Flip-Chart Easel Binder, Black",$22.38,21.0,$581.00,$469.98,$111.02,False
5120-1,Artisan Arch Ring Binders,$58.10,19.0,$581.00,$1103.90,$-522.90,False
5120-1,Artisan Arch Ring Binders,$58.10,44.0,$581.00,$2556.40,$-1975.40,False
5121-1,Economy Binders,$2.08,6.0,$85.96,$12.48,$73.48,False
5122-1,UGen Ultra Professional Cordless Optical Suite,$300.97,41.0,"$11,436.86",$12339.77,$-902.91,False
5122-1,UGen Ultra Professional Cordless Optical Suite,$300.97,46.0,"$11,436.86",$13844.62,$-2407.76,False
5122-1,Binder Posts,$5.74,20.0,$125.60,$114.80,$10.80,False
5122-1,UGen Ultra Professional Cordless Optical Suite,$300.97,3.0,"$11,436.86",$902.91,$10533.95,False
5122-1,UGen Ultra Professional Cordless Optical Suite,$300.97,15.0,"$11,436.86",$4514.55,$6922.31,False
5123-1,Artisan 481 Labels,$3.08,31.0,$140.60,$95.48,$45.12,False
5124-1,Apex Preferred Stainless Steel Scissors,$5.68,27.0,$260.24,$153.36,$106.88,False
5124-1,Apex Preferred Stainless Steel Scissors,$5.68,23.0,$259.72,$130.64,$129.08,False
5124-1,Artisan 48 Labels,$6.30,21.0,$23.82,$132.30,$-108.48,False
5124-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,43.0,"$9,407.54",$3890.64,$5516.90,False
5124-1,Apex Elite Stainless Steel Scissors,$8.34,23.0,$250.20,$191.82,$58.38,False
5124-1,Smiths Colored Interoffice Envelopes,$30.98,48.0,"$1,518.02",$1487.04,$30.98,False
5124-1,Apex Elite Stainless Steel Scissors,$8.34,11.0,$250.20,$91.74,$158.46,False
5124-1,Emerson Stylus 1520 Color Inkjet Printer,$500.97,46.0,"$2,879.76",$23044.62,$-20164.86,False
5125-1,Artisan 481 Labels,$3.08,23.0,$156.00,$70.84,$85.16,False
5125-1,Steady Pocket Accent Highlighters,$1.60,8.0,$78.60,$12.80,$65.80,False
5125-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,2.0,"$2,754.32",$180.96,$2573.36,False
5125-1,EcoTones Memo Sheets,$4.00,24.0,$249.90,$96.00,$153.90,False
5125-1,Artisan 474 Labels,$2.88,14.0,$56.40,$40.32,$16.08,False
5126-1,Steady 52201 APSCO Electric Pencil Sharpener,$40.97,1.0,"$1,825.82",$40.97,$1784.85,False
5126-1,Beekin 6 Outlet Metallic Surge Strip,$10.89,39.0,$117.04,$424.71,$-307.67,False
5126-1,Xit Blank Computer Paper,$19.98,8.0,$739.92,$159.84,$580.08,False
5128-1,EcoTones Memo Sheets,$4.00,46.0,$156.00,$184.00,$-28.00,False
5128-1,EcoTones Memo Sheets,$4.00,44.0,$156.00,$176.00,$-20.00,False
5128-1,Artisan Hole Reinforcements,$6.23,42.0,$136.02,$261.66,$-125.64,False
5128-1,EcoTones Memo Sheets,$4.00,8.0,$156.00,$32.00,$124.00,False
5128-1,EcoTones Memo Sheets,$4.00,33.0,$156.00,$132.00,$24.00,False
5128-1,EcoTones Memo Sheets,$4.00,33.0,$156.00,$132.00,$24.00,False
5128-1,EcoTones Memo Sheets,$4.00,22.0,$156.00,$88.00,$68.00,False
5128-1,EcoTones Memo Sheets,$4.00,8.0,$156.00,$32.00,$124.00,False
5129-1,Beekin 105-Key Black Keyboard,$19.98,46.0,$136.92,$919.08,$-782.16,False
5129-1,Smiths Colored Interoffice Envelopes,$30.98,8.0,"$1,518.52",$247.84,$1270.68,False
5130-1,Apex Preferred Stainless Steel Scissors,$5.68,18.0,$332.84,$102.24,$230.60,False
5130-1,TypeRight Side-Opening Peel & Seel Expanding Envelopes,$90.48,10.0,"$1,504.55",$904.80,$599.75,False
5131-1,Beekin 105-Key Black Keyboard,$19.98,27.0,$119.36,$539.46,$-420.10,False
5132-1,PastelOcean Color Pencil Set,$19.84,12.0,$340.62,$238.08,$102.54,False
5132-1,Self-Adhesive Ring Binder Labels,$3.52,48.0,$105.60,$168.96,$-63.36,False
5132-1,Ecolon Metal Binder Clips,$2.62,1.0,$43.74,$2.62,$41.12,False
5132-1,Apex Box Cutter Scissors,$10.23,29.0,$365.60,$296.67,$68.93,False
5132-1,Smiths File Caddy,$9.38,33.0,$279.30,$309.54,$-30.24,False
5132-1,Apex Preferred Stainless Steel Scissors,$5.68,27.0,$137.54,$153.36,$-15.82,False
